Command: kubectl get events --sort-by=.lastTimestamp -A
STDOUT:
NAMESPACE         LAST SEEN   TYPE      REASON                                   OBJECT                                                         MESSAGE
kube-system       60m         Normal    Pulled                                   pod/kube-dns-586c9659dd-vd952                                  Container image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260412.00_p0@sha256:10a31e4c4338b37a10dbf4dfeaabd58a95b711e59abb740de628c32748184831" already present on machine and can be accessed by the pod
kube-system       60m         Normal    Pulling                                  pod/konnectivity-agent-78dd94f664-d6gvw                        Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251019.00_p0@sha256:2e1549e4692726aecc70364a1d6700cf276db2d9b4da90179284ca8de168c976"
kube-system       60m         Normal    Pulling                                  pod/metrics-server-v1.35.1-57ff9d497b-wljmk                    Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/metrics-server:v0.8.0-gke.20@sha256:8c67aaa15ed51ed2ad97d6c7de0778696e95218f80af728e35b4c1c4e5659ccb"
gmp-system        60m         Normal    Pulling                                  pod/gmp-operator-768cf6fcdd-d9wmh                              Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/prometheus-engine/operator:v0.18.0-gke.2@sha256:c1096249d080e6763d41980b25cf237fd04091ba86abe7075f1e36b33b6fc263"
kube-system       60m         Normal    Pulling                                  pod/l7-default-backend-64955c88df-9nqdp                        Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/ingress-gce-404-server-with-metrics:v1.38.6@sha256:33ba5db7cd2975bf956b6e1b6e2e32f51be424c1e29abebd60d441510b409d62"
kube-system       60m         Normal    Pulling                                  pod/kube-dns-autoscaler-75b8d4c7fc-m5hbt                       Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/cluster-proportional-autoscaler:v1.10.3-gke.2@sha256:608476c370ab6d23cf62b3cb470b0480c446ff43fc6fa48959aa5d90f235722e"
kube-system       60m         Normal    Created                                  pod/kube-dns-586c9659dd-vd952                                  Container created
kube-system       60m         Normal    Pulling                                  pod/event-exporter-gke-54fb5f8f4c-z9jxx                        Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/event-exporter:event-exporter-v0.5.12-gke.6@sha256:addfe2a01f6689538a009c9b4757dee9aedf66aa05bde92b63f04a42bb85f368"
kube-system       60m         Normal    Pulling                                  pod/kube-dns-586c9659dd-vd952                                  Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-kube-dns:1.26.8-gke.3@sha256:e349d527bdfe0dfd02c26b38a94311415839ea30f48ca837d08ba5d9383f77cd"
kube-system       60m         Normal    Pulled                                   pod/gke-metrics-agent-xn8h5                                    Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20250807_2300_RC0@sha256:aa1ed41571fa937da61b5bcd7cf842981c7f026b516c18655bc2f3a9362b1fa5" in 2.913s (6.893s including waiting). Image size: 25459396 bytes.
kube-system       60m         Normal    Created                                  pod/gke-metrics-agent-xn8h5                                    Container created
kube-system       60m         Normal    Started                                  pod/gke-metrics-agent-xn8h5                                    Container started
kube-system       60m         Normal    Created                                  pod/fluentbit-gke-dj9lr                                        Container created
kube-system       60m         Normal    Pulled                                   pod/fluentbit-gke-dj9lr                                        Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit:v0.0.422-gke.2@sha256:4b5df304074c9f2842f16ef4869c0ec253c2d91d6478e5aa42d2f8dce9146b45" in 6.158s (8.156s including waiting). Image size: 66344763 bytes.
kube-system       60m         Normal    Started                                  pod/konnectivity-agent-78dd94f664-pbdqc                        Container started
kube-system       60m         Normal    Pulling                                  pod/fluentbit-gke-dj9lr                                        Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit-gke-exporter:v0.27.17-gke.20@sha256:67269cb89dbf9cf4e76e199a634c178eec76e74ae45694e8000893f7cae6179e"
kube-system       60m         Normal    Started                                  pod/fluentbit-gke-dj9lr                                        Container started
kube-system       60m         Normal    Pulled                                   pod/pdcsi-node-8w5sh                                           Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20250311_2300_RC0@sha256:e6713a8266629d9e103f7b2c7715bf510170fe28ebe2dc341327fa5e6a0facde" in 1.881s (7.563s including waiting). Image size: 25809711 bytes.
kube-system       60m         Normal    Pulled                                   pod/konnectivity-agent-78dd94f664-pbdqc                        Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251019.00_p0@sha256:2e1549e4692726aecc70364a1d6700cf276db2d9b4da90179284ca8de168c976" in 494ms (4.586s including waiting). Image size: 2887395 bytes.
kube-system       60m         Normal    Created                                  pod/konnectivity-agent-78dd94f664-pbdqc                        Container created
kube-system       60m         Normal    Created                                  pod/pdcsi-node-8w5sh                                           Container created
kueue-system      60m         Normal    LeaderElection                           lease/c1f6bfd2.kueue.x-k8s.io                                  kueue-controller-manager-5866f9f485-sm6wj_485d56c8-55d3-4895-bac2-e62d9b45cbbb became leader
