Command: kubectl get pods -A -o wide
STDOUT:
NAMESPACE            NAME                                                       READY   STATUS    RESTARTS      AGE   IP            NODE                                                  NOMINATED NODE   READINESS GATES
kube-system          maintenance-handler-tvphd                                  1/1     Running   0             46m   10.4.0.3      gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds   <none>           <none>
kube-system          metrics-server-v1.33.0-7cb947b96b-667zx                    1/1     Running   0             53m   10.4.2.14     gke-gke-a3h-spot-dc0273-system-43f3157b-487v          <none>           <none>
kube-system          nccl-tcpx-installer-9zbbm                                  1/1     Running   0             46m   192.168.0.6   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds   <none>           <none>
kube-system          nccl-tcpx-installer-th626                                  1/1     Running   0             46m   192.168.0.7   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9   <none>           <none>
kube-system          netd-xdcq9                                                 4/4     Running   1 (45m ago)   46m   192.168.0.6   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds   <none>           <none>
kube-system          netd-zfb44                                                 4/4     Running   1 (45m ago)   46m   192.168.0.7   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9   <none>           <none>
kube-system          netd-zsq54                                                 4/4     Running   1 (46m ago)   47m   192.168.0.8   gke-gke-a3h-spot-dc0273-system-43f3157b-487v          <none>           <none>
kube-system          nvidia-gpu-device-plugin-large-cos-cv4sx                   3/3     Running   0             46m   192.168.0.6   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds   <none>           <none>
kube-system          nvidia-gpu-device-plugin-large-cos-hppzm                   3/3     Running   0             46m   192.168.0.7   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9   <none>           <none>
kube-system          pdcsi-node-56zk7                                           2/2     Running   0             46m   192.168.0.7   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9   <none>           <none>
kube-system          pdcsi-node-jwsh4                                           2/2     Running   0             46m   192.168.0.6   gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds   <none>           <none>
kube-system          pdcsi-node-ppp48                                           2/2     Running   0             47m   192.168.0.8   gke-gke-a3h-spot-dc0273-system-43f3157b-487v          <none>           <none>
kueue-system         kueue-controller-manager-7b746577c9-7zmws                  1/1     Running   0             47m   10.4.2.3      gke-gke-a3h-spot-dc0273-system-43f3157b-487v          <none>           <none>

STDERR:

