Command: kubectl get events --sort-by=.lastTimestamp -A
STDOUT:
NAMESPACE                     LAST SEEN   TYPE      REASON                         OBJECT                                                          MESSAGE
jobset-system                 3m          Normal    Scheduled                      pod/jobset-controller-f76fcff8f-ntqzp                           Successfully assigned jobset-system/jobset-controller-f76fcff8f-ntqzp to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   11m         Normal    Scheduled                      pod/anetd-jlvzq                                                 Successfully assigned kube-system/anetd-jlvzq to gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9
gmp-system                    11m         Normal    Scheduled                      pod/collector-tvrnk                                             Successfully assigned gmp-system/collector-tvrnk to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
kube-system                   4m48s       Normal    Scheduled                      pod/l7-default-backend-757c84897c-mmjcb                         Successfully assigned kube-system/l7-default-backend-757c84897c-mmjcb to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   11m         Normal    Scheduled                      pod/netd-vn596                                                  Successfully assigned kube-system/netd-vn596 to gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b
kube-system                   11m         Normal    Scheduled                      pod/anetd-ps2xf                                                 Successfully assigned kube-system/anetd-ps2xf to gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b
kube-system                   11m         Normal    Scheduled                      pod/gke-metadata-server-q6zqq                                   Successfully assigned kube-system/gke-metadata-server-q6zqq to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
kube-system                   5m5s        Warning   FailedScheduling               pod/kube-dns-84d47fbc64-2x8qc                                   no nodes available to schedule pods
kube-system                   5m5s        Warning   FailedScheduling               pod/l7-default-backend-757c84897c-mmjcb                         no nodes available to schedule pods
kube-system                   13m         Warning   FailedScheduling               pod/kube-dns-84d47fbc64-tf279                                   no nodes available to schedule pods
gke-managed-cim               5m5s        Warning   FailedScheduling               pod/kube-state-metrics-0                                        no nodes available to schedule pods
kube-system                   5m5s        Warning   FailedScheduling               pod/kube-dns-84d47fbc64-6vw92                                   no nodes available to schedule pods
kube-system                   5m9s        Warning   FailedScheduling               pod/kube-dns-84d47fbc64-6vw92                                   no nodes available to schedule pods
kube-system                   11m         Normal    Scheduled                      pod/fluentbit-gke-nzgkw                                         Successfully assigned kube-system/fluentbit-gke-nzgkw to gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b
gmp-system                    12m         Warning   FailedScheduling               pod/gmp-operator-5859655959-4mvcz                               no nodes available to schedule pods
kube-system                   10m         Warning   FailedScheduling               pod/konnectivity-agent-bcb8d5868-5zjn2                          0/3 nodes are available: 3 node(s) were unschedulable. no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   10m         Warning   FailedScheduling               pod/konnectivity-agent-autoscaler-567664cbff-j6vgl              0/3 nodes are available: 3 node(s) were unschedulable. no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   5m10s       Warning   FailedScheduling               pod/konnectivity-agent-bcb8d5868-5zjn2                          no nodes available to schedule pods
kube-system                   11m         Normal    Scheduled                      pod/fluentbit-gke-2jcfk                                         Successfully assigned kube-system/fluentbit-gke-2jcfk to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
gmp-system                    11m         Normal    Scheduled                      pod/gmp-operator-5859655959-4mvcz                               Successfully assigned gmp-system/gmp-operator-5859655959-4mvcz to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
kube-system                   10m         Warning   FailedScheduling               pod/konnectivity-agent-bcb8d5868-wctd9                          0/3 nodes are available: 3 node(s) were unschedulable. no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   11m         Normal    Scheduled                      pod/konnectivity-agent-autoscaler-567664cbff-g7v5q              Successfully assigned kube-system/konnectivity-agent-autoscaler-567664cbff-g7v5q to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
kube-system                   11m         Warning   FailedScheduling               pod/konnectivity-agent-autoscaler-567664cbff-g7v5q              no nodes available to schedule pods
kube-system                   12m         Warning   FailedScheduling               pod/konnectivity-agent-autoscaler-567664cbff-g7v5q              no nodes available to schedule pods
kube-system                   11m         Normal    Scheduled                      pod/gke-metrics-agent-55msw                                     Successfully assigned kube-system/gke-metrics-agent-55msw to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
kube-system                   5m10s       Warning   FailedScheduling               pod/konnectivity-agent-bcb8d5868-wctd9                          no nodes available to schedule pods
kube-system                   11m         Normal    Scheduled                      pod/pdcsi-node-wslkv                                            Successfully assigned kube-system/pdcsi-node-wslkv to gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9
kube-system                   4m52s       Normal    Scheduled                      pod/pdcsi-node-qv7gc                                            Successfully assigned kube-system/pdcsi-node-qv7gc to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   11m         Normal    Scheduled                      pod/netd-ftl7q                                                  Successfully assigned kube-system/netd-ftl7q to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
gke-managed-cim               13m         Warning   FailedScheduling               pod/kube-state-metrics-0                                        no nodes available to schedule pods
gke-managed-cim               4m48s       Normal    Scheduled                      pod/kube-state-metrics-0                                        Successfully assigned gke-managed-cim/kube-state-metrics-0 to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
gke-managed-cim               11m         Normal    Scheduled                      pod/kube-state-metrics-0                                        Successfully assigned gke-managed-cim/kube-state-metrics-0 to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
kube-system                   11m         Normal    Scheduled                      pod/gke-metrics-agent-6vzjh                                     Successfully assigned kube-system/gke-metrics-agent-6vzjh to gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b
kube-system                   5m5s        Warning   FailedScheduling               pod/konnectivity-agent-bcb8d5868-5zjn2                          no nodes available to schedule pods
kube-system                   5m9s        Warning   FailedScheduling               pod/l7-default-backend-757c84897c-mmjcb                         no nodes available to schedule pods
kube-system                   10m         Warning   FailedScheduling               pod/kube-dns-autoscaler-5f7d65fcd5-ffv5t                        0/3 nodes are available: 3 node(s) were unschedulable. no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   5m9s        Warning   FailedScheduling               pod/kube-dns-autoscaler-5f7d65fcd5-ffv5t                        no nodes available to schedule pods
kube-system                   4m48s       Normal    Scheduled                      pod/konnectivity-agent-bcb8d5868-5zjn2                          Successfully assigned kube-system/konnectivity-agent-bcb8d5868-5zjn2 to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
gmp-system                    10m         Warning   FailedScheduling               pod/gmp-operator-5859655959-sx5vg                               0/3 nodes are available: 3 node(s) were unschedulable. no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   10m         Warning   FailedScheduling               pod/kube-dns-84d47fbc64-6vw92                                   0/3 nodes are available: 3 node(s) were unschedulable. no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   4m52s       Normal    Scheduled                      pod/fluentbit-gke-lslvg                                         Successfully assigned kube-system/fluentbit-gke-lslvg to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   11m         Warning   FailedScheduling               pod/event-exporter-gke-7765cfbfdf-szsbn                         no nodes available to schedule pods
kube-system                   13m         Warning   FailedScheduling               pod/event-exporter-gke-7765cfbfdf-szsbn                         no nodes available to schedule pods
kube-system                   5m5s        Warning   FailedScheduling               pod/kube-dns-autoscaler-5f7d65fcd5-ffv5t                        no nodes available to schedule pods
kube-system                   4m48s       Normal    Scheduled                      pod/kube-dns-autoscaler-5f7d65fcd5-ffv5t                        Successfully assigned kube-system/kube-dns-autoscaler-5f7d65fcd5-ffv5t to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   12m         Warning   FailedScheduling               pod/kube-dns-autoscaler-5f7d65fcd5-lxf7w                        no nodes available to schedule pods
gke-managed-cim               10m         Warning   FailedScheduling               pod/kube-state-metrics-0                                        0/3 nodes are available: 3 node(s) were unschedulable. no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   11m         Warning   FailedScheduling               pod/kube-dns-autoscaler-5f7d65fcd5-lxf7w                        no nodes available to schedule pods
kube-system                   11m         Normal    Scheduled                      pod/kube-dns-autoscaler-5f7d65fcd5-lxf7w                        Successfully assigned kube-system/kube-dns-autoscaler-5f7d65fcd5-lxf7w to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
gke-managed-cim               5m9s        Warning   FailedScheduling               pod/kube-state-metrics-0                                        no nodes available to schedule pods
kube-system                   4m48s       Normal    Scheduled                      pod/kube-dns-84d47fbc64-6vw92                                   Successfully assigned kube-system/kube-dns-84d47fbc64-6vw92 to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   10m         Warning   FailedScheduling               pod/antrea-controller-horizontal-autoscaler-64c5ff5cd9-7c5m4    0/3 nodes are available: 3 node(s) were unschedulable. no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   11m         Normal    Scheduled                      pod/event-exporter-gke-7765cfbfdf-szsbn                         Successfully assigned kube-system/event-exporter-gke-7765cfbfdf-szsbn to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
gmp-system                    5m9s        Warning   FailedScheduling               pod/gmp-operator-5859655959-sx5vg                               no nodes available to schedule pods
kube-system                   4m48s       Normal    Scheduled                      pod/event-exporter-gke-7765cfbfdf-sjxl4                         Successfully assigned kube-system/event-exporter-gke-7765cfbfdf-sjxl4 to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   5m5s        Warning   FailedScheduling               pod/event-exporter-gke-7765cfbfdf-sjxl4                         no nodes available to schedule pods
kube-system                   5m9s        Warning   FailedScheduling               pod/event-exporter-gke-7765cfbfdf-sjxl4                         no nodes available to schedule pods
kube-system                   10m         Warning   FailedScheduling               pod/l7-default-backend-757c84897c-mmjcb                         0/3 nodes are available: 3 node(s) were unschedulable. no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   4m48s       Normal    Scheduled                      pod/kube-dns-84d47fbc64-2x8qc                                   Successfully assigned kube-system/kube-dns-84d47fbc64-2x8qc to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   10m         Warning   FailedScheduling               pod/event-exporter-gke-7765cfbfdf-sjxl4                         0/3 nodes are available: 3 node(s) were unschedulable. no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
gmp-system                    5m5s        Warning   FailedScheduling               pod/gmp-operator-5859655959-sx5vg                               no nodes available to schedule pods
kube-system                   11m         Normal    Scheduled                      pod/pdcsi-node-krstt                                            Successfully assigned kube-system/pdcsi-node-krstt to gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b
gmp-system                    4m48s       Normal    Scheduled                      pod/gmp-operator-5859655959-sx5vg                               Successfully assigned gmp-system/gmp-operator-5859655959-sx5vg to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   5m5s        Warning   FailedScheduling               pod/konnectivity-agent-bcb8d5868-wctd9                          no nodes available to schedule pods
gmp-system                    11m         Warning   FailedScheduling               pod/gmp-operator-5859655959-4mvcz                               no nodes available to schedule pods
kube-system                   10m         Normal    Scheduled                      pod/konnectivity-agent-bcb8d5868-p7bkd                          Successfully assigned kube-system/konnectivity-agent-bcb8d5868-p7bkd to gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b
gmp-system                    12m         Warning   FailedScheduling               pod/rule-evaluator-85bdc96bcf-9dp24                             no nodes available to schedule pods
gmp-system                    11m         Warning   FailedScheduling               pod/rule-evaluator-85bdc96bcf-9dp24                             no nodes available to schedule pods
gmp-system                    12m         Warning   FailedScheduling               pod/alertmanager-0                                              no nodes available to schedule pods
gmp-system                    11m         Warning   FailedScheduling               pod/alertmanager-0                                              no nodes available to schedule pods
gmp-system                    11m         Normal    Scheduled                      pod/alertmanager-0                                              Successfully assigned gmp-system/alertmanager-0 to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
gmp-system                    11m         Normal    Scheduled                      pod/rule-evaluator-85bdc96bcf-9dp24                             Successfully assigned gmp-system/rule-evaluator-85bdc96bcf-9dp24 to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
kube-system                   11m         Normal    Scheduled                      pod/gke-metadata-server-z5kdn                                   Successfully assigned kube-system/gke-metadata-server-z5kdn to gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b
kube-system                   11m         Normal    Scheduled                      pod/gke-metrics-agent-kg6sw                                     Successfully assigned kube-system/gke-metrics-agent-kg6sw to gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9
gmp-system                    11m         Normal    Scheduled                      pod/collector-c9f7g                                             Successfully assigned gmp-system/collector-c9f7g to gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b
kube-system                   4m48s       Normal    Scheduled                      pod/konnectivity-agent-bcb8d5868-wctd9                          Successfully assigned kube-system/konnectivity-agent-bcb8d5868-wctd9 to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   12m         Warning   FailedScheduling               pod/l7-default-backend-757c84897c-2c4cj                         no nodes available to schedule pods
kube-system                   11m         Warning   FailedScheduling               pod/l7-default-backend-757c84897c-2c4cj                         no nodes available to schedule pods
kube-system                   4m52s       Normal    Scheduled                      pod/gke-metrics-agent-jzjp6                                     Successfully assigned kube-system/gke-metrics-agent-jzjp6 to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   10m         Warning   FailedScheduling               pod/konnectivity-agent-bcb8d5868-fc69p                          0/3 nodes are available: 3 node(s) were unschedulable. no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   5m10s       Warning   FailedScheduling               pod/konnectivity-agent-bcb8d5868-fc69p                          no nodes available to schedule pods
kube-system                   5m5s        Warning   FailedScheduling               pod/konnectivity-agent-bcb8d5868-fc69p                          no nodes available to schedule pods
kube-system                   4m48s       Normal    Scheduled                      pod/konnectivity-agent-bcb8d5868-fc69p                          Successfully assigned kube-system/konnectivity-agent-bcb8d5868-fc69p to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   11m         Normal    Scheduled                      pod/metrics-server-v1.35.1-74dbffb876-dqvpb                     Successfully assigned kube-system/metrics-server-v1.35.1-74dbffb876-dqvpb to gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9
kube-system                   11m         Normal    Scheduled                      pod/gke-metadata-server-5wb2j                                   Successfully assigned kube-system/gke-metadata-server-5wb2j to gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9
kube-system                   11m         Normal    Scheduled                      pod/antrea-controller-horizontal-autoscaler-64c5ff5cd9-kqqxh    Successfully assigned kube-system/antrea-controller-horizontal-autoscaler-64c5ff5cd9-kqqxh to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
kube-system                   11m         Normal    Scheduled                      pod/pdcsi-node-47thw                                            Successfully assigned kube-system/pdcsi-node-47thw to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
kube-system                   11m         Warning   FailedScheduling               pod/antrea-controller-horizontal-autoscaler-64c5ff5cd9-kqqxh    no nodes available to schedule pods
kube-system                   11m         Warning   FailedScheduling               pod/antrea-controller-horizontal-autoscaler-64c5ff5cd9-kqqxh    no nodes available to schedule pods
kube-system                   11m         Normal    Scheduled                      pod/l7-default-backend-757c84897c-2c4cj                         Successfully assigned kube-system/l7-default-backend-757c84897c-2c4cj to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
kube-system                   4m48s       Normal    Scheduled                      pod/antrea-controller-horizontal-autoscaler-64c5ff5cd9-7c5m4    Successfully assigned kube-system/antrea-controller-horizontal-autoscaler-64c5ff5cd9-7c5m4 to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   5m5s        Warning   FailedScheduling               pod/antrea-controller-horizontal-autoscaler-64c5ff5cd9-7c5m4    no nodes available to schedule pods
kube-system                   11m         Warning   FailedScheduling               pod/metrics-server-v1.35.1-74dbffb876-dqvpb                     no nodes available to schedule pods
kube-system                   11m         Warning   FailedScheduling               pod/konnectivity-agent-bcb8d5868-gz8x4                          no nodes available to schedule pods
kube-system                   11m         Normal    Scheduled                      pod/konnectivity-agent-bcb8d5868-gz8x4                          Successfully assigned kube-system/konnectivity-agent-bcb8d5868-gz8x4 to gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33
gmp-system                    2m55s       Normal    Scheduled                      pod/collector-f766w                                             Successfully assigned gmp-system/collector-f766w to gke-gke-a3h-spot-b866c1-system-638482db-xfkx
kube-system                   5m10s       Warning   FailedScheduling               pod/antrea-controller-horizontal-autoscaler-64c5ff5cd9-7c5m4    no nodes available to schedule pods
kube-system                   10m         Normal    Scheduled                      pod/konnectivity-agent-bcb8d5868-mxc8n                          Successfully assigned kube-system/konnectivity-agent-bcb8d5868-mxc8n to gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9
default                       15m         Normal    NodeAllocatableEnforced        node/gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b         Updated Node Allocatable limit across pods
default                       15m         Warning   InvalidDiskCapacity            node/gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b         invalid capacity 0 on image filesystem
default                       15m         Warning   InvalidDiskCapacity            node/gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9         invalid capacity 0 on image filesystem
default                       15m         Normal    NodeAllocatableEnforced        node/gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9         Updated Node Allocatable limit across pods
default                       15m         Warning   InvalidDiskCapacity            node/gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33         invalid capacity 0 on image filesystem
default                       15m         Normal    NodeAllocatableEnforced        node/gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33         Updated Node Allocatable limit across pods
default                       15m         Warning   NodeRegistrationCheckerStart   node/gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9         Thu Jun 18 07:04:55 UTC 2026 - ** Starting Node Registration Checker **
default                       15m         Warning   DockerStart                    node/gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9         Starting docker.service...
default                       15m         Warning   ContainerdStart                node/gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9         Starting containerd.service...
default                       15m         Warning   KubeletStart                   node/gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9         Started kubelet.service.
default                       15m         Warning   NodeSysctlChange               node/gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9         Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
default                       14m         Warning   ReadOnlyFileSystemDetected     node/gke-gke-a3h-spot-b866c1-default-pool-4d48a772-3xf9         
default                       14m         Warning   NodeRegistrationCheckerStart   node/gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33         Thu Jun 18 07:05:07 UTC 2026 - ** Starting Node Registration Checker **
default                       14m         Warning   NodeSysctlChange               node/gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33         Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
default                       14m         Warning   DockerStart                    node/gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33         Starting docker.service...
default                       14m         Warning   KubeletStart                   node/gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33         Started kubelet.service.
default                       14m         Warning   ContainerdStart                node/gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33         Starting containerd.service...
default                       14m         Normal    NodeHasSufficientPID           node/gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b         Node gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b status is now: NodeHasSufficientPID
default                       14m         Warning   ReadOnlyFileSystemDetected     node/gke-gke-a3h-spot-b866c1-default-pool-cc523acd-1c33         
default                       14m         Normal    NodeHasSufficientMemory        node/gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b         Node gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b status is now: NodeHasSufficientMemory
default                       14m         Normal    NodeHasNoDiskPressure          node/gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b         Node gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b status is now: NodeHasNoDiskPressure
default                       14m         Warning   NodeRegistrationCheckerStart   node/gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b         Thu Jun 18 07:04:53 UTC 2026 - ** Starting Node Registration Checker **
default                       14m         Warning   DockerStart                    node/gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b         Starting docker.service...
default                       14m         Warning   KubeletStart                   node/gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b         Started kubelet.service.
default                       14m         Warning   NodeSysctlChange               node/gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b         Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
default                       14m         Warning   ContainerdStart                node/gke-gke-a3h-spot-b866c1-default-pool-b0c39a20-mj1b         Starting containerd.service...
